TSS_position,TSS_strand,TSS_reads,sigma_binding,found_motif, binding+motif,TU_ID,first_gene,genes
148,+,2869,DS,DSNHFE,DS,TU_Ecoli-0001,thrL,thrL;thrA;thrB;thrC
177,+,8654,DS,DSNHFE,DS,TU_Ecoli-0002,thrL,thrL;thrA;thrB;thrC
186,+,1389,DS,DSNHFE,DS,TU_Ecoli-0003,thrL,thrL;thrA;thrB;thrC
195,+,420,DS,SE,S,TU_Ecoli-0004,thrA,thrA;thrB;thrC
2581,+,111,S,DSNHF,S,TU_Ecoli-0005,thrB,thrB;thrC
2678,+,19,S,DSF,S,TU_Ecoli-0006,thrB,thrB;thrC
2690,+,59,S,DSNE,S,TU_Ecoli-0007,thrB,thrB;thrC
6477,-,15,D,DSNFE,D,TU_Ecoli-0008,yaaA,yaaA
8094,+,82,DS,DSN,DS,TU_Ecoli-0009,talB,talB
8168,-,15,DS,DSNHFE,DS,TU_Ecoli-0010,yaaJ,yaaJ
8191,+,319,DS,DNHF,D,TU_Ecoli-0011,talB,talB
8237,+,18,DS,DSH,DS,TU_Ecoli-0012,talB,talB
8443,-,949,DS,DSNE,DS,TU_Ecoli-0013,yaaJ,yaaJ
10563,-,5,D,DSNHF,D,TU_Ecoli-0014,yaaH,yaaH
10564,-,5,D,DSNHFE,D,TU_Ecoli-0015,yaaH,yaaH
12048,+,103,DH,DHF,DH,TU_Ecoli-0016,dnaK,dnaK;tpke11;dnaJ
12381,-,6,DH,,,TU_Ecoli-0017,yaaI,yaaI;yaaW
16872,+,18,D,SHF,,TU_Ecoli-0018,sokC,sokC
16949,-,41,DS,DSHF,DS,TU_Ecoli-0019,hokC,hokC
16952,+,11,DS,DSHE,DS,TU_Ecoli-0020,sokC,sokC
16961,-,20,DS,DSHFE,DS,TU_Ecoli-0021,mokC,mokC;hokC
16996,+,21,DS,DSN,DS,TU_Ecoli-0022,nhaA,nhaA;nhaR
17053,-,8,DS,DSNHFE,DS,TU_Ecoli-0023,mokC,mokC;hokC
17224,+,17,DS,DSNHE,DS,TU_Ecoli-0024,nhaA,nhaA;nhaR
17311,+,58,DS,DSHFE,DS,TU_Ecoli-0025,nhaA,nhaA;nhaR
17374,-,67,DS,SNF,S,TU_Ecoli-0026,mokC,mokC;hokC
20898,-,114,DS,FE,,TU_Ecoli-0027,insAB-1,insAB-1
20910,-,577,DS,NHE,,TU_Ecoli-0028,insAB-1,insAB-1
20984,+,13,DS,DSNE,DS,TU_Ecoli-0029,yaaY,yaaY
21007,+,73,DS,DSNHFE,DS,TU_Ecoli-0030,yaaY,yaaY
21098,-,59,DS,NHFE,,TU_Ecoli-0031,rpsT,rpsT
21112,-,14,DS,DSNH,DS,TU_Ecoli-0032,rpsT,rpsT
21118,-,439,DS,DSNHE,DS,TU_Ecoli-0033,rpsT,rpsT
21207,-,59,DS,DSH,DS,TU_Ecoli-0034,rpsT,rpsT
21383,+,34,DS,DS,DS,TU_Ecoli-0035,ribF,ribF;ileS
28147,+,9,DS,HFE,,TU_Ecoli-0036,dapB,dapB
28165,+,21,DS,NHF,,TU_Ecoli-0037,dapB,dapB
28287,+,8,DS,DSHFE,DS,TU_Ecoli-0038,dapB,dapB
28343,+,19,DS,DSE,DS,TU_Ecoli-0039,dapB,dapB
29551,+,196,DSNH,DSNHFE,DSNH,TU_Ecoli-0040,carA,carA;carB
52034,-,7521,DS,DSHE,DS,TU_Ecoli-0041,apaG,apaG;apaH
52587,-,344,DS,DSNF,DS,TU_Ecoli-0042,rsmA,rsmA;apaG;apaH
57150,+,96,DSHE,DSNF,DS,TU_Ecoli-0043,djlA,djlA
57156,-,1279,DSHE,DSF,DS,TU_Ecoli-0044,lptD,lptD
57241,-,599,DSHE,DSNHFE,DSHE,TU_Ecoli-0045,lptD,lptD
57253,-,423,DSHE,DSNHF,DSH,TU_Ecoli-0046,lptD,lptD
58773,+,19,DS,DSNF,DS,TU_Ecoli-0047,yabQ,yabQ
58907,+,5,DS,DSNHFE,DS,TU_Ecoli-0048,yabQ,yabQ
58916,+,5,DS,NHFE,,TU_Ecoli-0049,yabQ,yabQ
58946,+,5,DS,DSFE,DS,TU_Ecoli-0050,yabQ,yabQ
63357,-,15,DSH,DSNHFE,DSH,TU_Ecoli-0051,hepA,hepA;rluA
63403,-,41,DSH,DSNFE,DS,TU_Ecoli-0052,hepA,hepA;rluA
63588,-,1628,DSH,DSHF,DSH,TU_Ecoli-0053,hepA,hepA;rluA
70221,+,150,DS,DSNFE,DS,TU_Ecoli-0054,araC,araC
71086,+,5,DN,NHFE,N,TU_Ecoli-0055,yabI,yabI
71127,+,17,DN,SNFE,N,TU_Ecoli-0056,yabI,yabI
71271,+,50,DN,SNFE,N,TU_Ecoli-0057,yabI,yabI
71295,+,13,DN,DNFE,DN,TU_Ecoli-0058,yabI,yabI
71315,+,6,DN,DSNFE,DN,TU_Ecoli-0059,yabI,yabI
71329,+,5,DN,DSN,DN,TU_Ecoli-0060,yabI,yabI
75518,-,41,D,NFE,,TU_Ecoli-0061,tbpA,tbpA;thiP;thiQ
75538,-,40,D,HE,,TU_Ecoli-0062,tbpA,tbpA;thiP;thiQ
75559,-,47,D,DNF,D,TU_Ecoli-0063,tbpA,tbpA;thiP;thiQ
75608,-,41,D,DSNHFE,D,TU_Ecoli-0064,sroA,sroA;tbpA;thiP;thiQ
75864,-,6,D,NHFE,,TU_Ecoli-0065,sroA,sroA;tbpA;thiP;thiQ
75958,-,10,D,DSFE,D,TU_Ecoli-0066,sroA,sroA;tbpA;thiP;thiQ
77367,+,939,D,DSHFE,D,TU_Ecoli-0067,sgrS,sgrS;setA
77418,+,21,D,SNH,,TU_Ecoli-0068,setA,setA
77438,+,27,D,DNHF,D,TU_Ecoli-0069,setA,setA
77474,+,7,D,SNHF,,TU_Ecoli-0070,setA,setA
77483,+,34,D,DSHF,D,TU_Ecoli-0071,setA,setA
77516,+,10,D,SNFE,,TU_Ecoli-0072,setA,setA
77525,+,7,D,SFE,,TU_Ecoli-0073,setA,setA
77567,+,32,D,DSNF,D,TU_Ecoli-0074,setA,setA
83668,-,16,DSN,SNH,SN,TU_Ecoli-0075,leuA,leuA;leuB;leuC;leuD
83675,-,5,DSN,NH,N,TU_Ecoli-0076,leuA,leuA;leuB;leuC;leuD
83699,-,36,DSN,DN,DN,TU_Ecoli-0077,leuA,leuA;leuB;leuC;leuD
83735,-,7690,DSN,DNHFE,DN,TU_Ecoli-0078,leuL,leuL;leuA;leuB;leuC;leuD
83745,+,40,DSN,DSNHF,DSN,TU_Ecoli-0079,leuO,leuO
85599,+,21,D,DSFE,D,TU_Ecoli-0080,ilvI,ilvI;ilvH
85605,+,5,D,DSNFE,D,TU_Ecoli-0081,ilvI,ilvI;ilvH
89590,+,1080,DSH,DSNHFE,DSH,TU_Ecoli-0082,mraZ,mraZ;rsmH;ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC
89683,+,26,DSH,DNHF,DH,TU_Ecoli-0083,rsmH,rsmH;ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC
89701,+,23,DSH,SF,S,TU_Ecoli-0084,rsmH,rsmH;ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC
89741,+,103,DSH,NFE,,TU_Ecoli-0085,rsmH,rsmH;ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC
89954,+,60,DH,DSNHF,DH,TU_Ecoli-0086,rsmH,rsmH;ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC
90367,+,118,DH,SNF,,TU_Ecoli-0087,ftsL,ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC
104675,+,10,D,DSNHFE,D,TU_Ecoli-0088,ftsZ,ftsZ;lpxC
104693,+,23,D,DSF,D,TU_Ecoli-0089,ftsZ,ftsZ;lpxC
104726,+,12,D,DSNE,D,TU_Ecoli-0090,ftsZ,ftsZ;lpxC
106508,+,169,DS,DSNH,DS,TU_Ecoli-0091,lpxC,lpxC
106530,+,60,DS,DSNH,DS,TU_Ecoli-0092,lpxC,lpxC
107373,+,53,DH,DSHFE,DH,TU_Ecoli-0093,secM,secM;secA;mutT
107668,+,885,DH,DSNF,D,TU_Ecoli-0094,secM,secM;secA;mutT
113199,-,656,DS,DS,DS,TU_Ecoli-0095,yacF,yacF;yacG
113394,+,2874,DS,DSNH,DS,TU_Ecoli-0096,guaC,guaC
117952,-,5,D,NHF,,TU_Ecoli-0097,ppdD,ppdD
118679,-,951,D,DSNHE,D,TU_Ecoli-0098,nadC,nadC
118701,+,12,D,DSE,D,TU_Ecoli-0099,ampD,ampD;ampE
118703,+,12,D,DSE,D,TU_Ecoli-0100,ampD,ampD;ampE
118726,+,5,D,SNHFE,,TU_Ecoli-0101,ampD,ampD;ampE
121676,-,76,DS,DSNHFE,DS,TU_Ecoli-0102,aroP,aroP
122034,+,1660,DS,DSNFE,DS,TU_Ecoli-0103,pdhR,pdhR;aceE;aceF;lpd
127473,+,52,D,N,,TU_Ecoli-0104,lpd,lpd
127491,+,15,D,NHF,,TU_Ecoli-0105,lpd,lpd
127505,+,13,D,NHF,,TU_Ecoli-0106,lpd,lpd
127637,+,14,D,DSN,D,TU_Ecoli-0107,lpd,lpd
127717,+,8,D,DSNHF,D,TU_Ecoli-0108,lpd,lpd
131519,+,1204,DS,DSNH,DS,TU_Ecoli-0109,acnB,acnB
134339,+,813,S,DSHF,S,TU_Ecoli-0110,yacL,yacL
136504,-,18,D,DSNHFE,D,TU_Ecoli-0111,speE,speE;speD
136550,-,158,D,DSHF,D,TU_Ecoli-0112,speE,speE;speD
136940,-,11,D,DSNFE,D,TU_Ecoli-0113,yacC,yacC
136957,+,15,D,DNHF,D,TU_Ecoli-0114,cueO,cueO
137002,+,36,D,DSNE,D,TU_Ecoli-0115,cueO,cueO
137046,+,10,D,DSHFE,D,TU_Ecoli-0116,cueO,cueO
137058,-,5,D,DSNHE,D,TU_Ecoli-0117,yacC,yacC
141263,-,5,DS,DSHF,DS,TU_Ecoli-0118,gcd,gcd
141354,+,201,DS,DNE,D,TU_Ecoli-0119,hpt,hpt
141361,+,5,DS,DSE,DS,TU_Ecoli-0120,hpt,hpt
141632,-,45,DS,DNHFE,D,TU_Ecoli-0121,gcd,gcd
142434,+,15,DH,DSNH,DH,TU_Ecoli-0122,yadG,yadG;yadH;yadI
142703,-,266,DH,DSNHFE,DH,TU_Ecoli-0123,can,can
142766,-,18,DH,DSNHFE,DH,TU_Ecoli-0124,can,can
